denumire
"Tricou polo Slim Fit  "
"Pantaloni din amestec de in"
"Jacheta de denim cu imprimeu "
"Camasa de bumbac Regular Fit "
"Cardigan cu fermoar"
"Rochie din amestec de in "
"Bluza cu maneci bufante"
"Pantaloni scurti "
"Sacou dama din in "
"Salopeta scurta "
"Rochie de jerseu cu volane "
"Tricou cu dungi "
"Pantaloni scurti cu cordon "
"Pantaloni scurti cu imprimeu "
"Tricou polo baieti "
"Set din in , 2 bucati pentru baieti "
"Tricou clasic cu imprimeu pentru baieti "
